spreadsheetId,accountId,month,folder_id,currentPeriodTotalCost
1CE33wvTmZJy5D6pf2IYFdE1NXtcrP0er7GaooAHucHw,5949 ,Jul 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,376.78
1CE33wvTmZJy5D6pf2IYFdE1NXtcrP0er7GaooAHucHw,5949 ,Aug 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,376.78
1CE33wvTmZJy5D6pf2IYFdE1NXtcrP0er7GaooAHucHw,5949 ,Sep 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,376.78
1CE33wvTmZJy5D6pf2IYFdE1NXtcrP0er7GaooAHucHw,5949 ,Oct 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,376.78
1CE33wvTmZJy5D6pf2IYFdE1NXtcrP0er7GaooAHucHw,5949 ,Nov 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,376.78
1CE33wvTmZJy5D6pf2IYFdE1NXtcrP0er7GaooAHucHw,5949 ,Dec 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,376.78
1w_6Mropcl8qX_iqBfZ-XzPOJNk-Qh2TJPX7SnSTux9M,1213 ,Jan 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,613.46
1w_6Mropcl8qX_iqBfZ-XzPOJNk-Qh2TJPX7SnSTux9M,1213 ,Feb 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,613.46
1w_6Mropcl8qX_iqBfZ-XzPOJNk-Qh2TJPX7SnSTux9M,1213 ,Mar 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,613.46
1w_6Mropcl8qX_iqBfZ-XzPOJNk-Qh2TJPX7SnSTux9M,1213 ,Apr 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,613.46
1w_6Mropcl8qX_iqBfZ-XzPOJNk-Qh2TJPX7SnSTux9M,1213 ,May 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,613.46
1w_6Mropcl8qX_iqBfZ-XzPOJNk-Qh2TJPX7SnSTux9M,1213 ,Jun 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,613.46
1w_6Mropcl8qX_iqBfZ-XzPOJNk-Qh2TJPX7SnSTux9M,1213 ,Jul 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,613.46
1w_6Mropcl8qX_iqBfZ-XzPOJNk-Qh2TJPX7SnSTux9M,1213 ,Aug 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,613.46
1w_6Mropcl8qX_iqBfZ-XzPOJNk-Qh2TJPX7SnSTux9M,1213 ,Sep 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,613.46
1w_6Mropcl8qX_iqBfZ-XzPOJNk-Qh2TJPX7SnSTux9M,1213 ,Oct 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,613.46
1w_6Mropcl8qX_iqBfZ-XzPOJNk-Qh2TJPX7SnSTux9M,1213 ,Nov 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,613.46
1w_6Mropcl8qX_iqBfZ-XzPOJNk-Qh2TJPX7SnSTux9M,1213 ,Dec 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,613.46
1BlrNtRT4Ivxy0cVJb7D-7CBKXegoG5ih4qQyB9J9HpE,2668 ,Jan 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,386.85
1BlrNtRT4Ivxy0cVJb7D-7CBKXegoG5ih4qQyB9J9HpE,2668 ,Feb 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,386.85
1BlrNtRT4Ivxy0cVJb7D-7CBKXegoG5ih4qQyB9J9HpE,2668 ,Mar 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,386.85
1BlrNtRT4Ivxy0cVJb7D-7CBKXegoG5ih4qQyB9J9HpE,2668 ,Apr 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,386.85
1BlrNtRT4Ivxy0cVJb7D-7CBKXegoG5ih4qQyB9J9HpE,2668 ,May 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,386.85
1BlrNtRT4Ivxy0cVJb7D-7CBKXegoG5ih4qQyB9J9HpE,2668 ,Jun 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,386.85
